,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age_cat,Years_Exper,Sal_Cat
0,32.0,Male,Bachelor's Degree,Software Engineer,5.0,90000.0,Thirties,0-5,Medium
1,28.0,Female,Master's Degree,Data Analyst,3.0,65000.0,Twenties,0-5,Medium
2,45.0,Male,PhD,Senior Manager,15.0,150000.0,Forties,11-15,High
3,36.0,Female,Bachelor's Degree,Sales Associate,7.0,60000.0,Thirties,6-10,Medium
4,52.0,Male,Master's Degree,Director,20.0,200000.0,Fifties,16-20,Very High
5,29.0,Male,Bachelor's Degree,Marketing Analyst,2.0,55000.0,Twenties,0-5,Medium
6,42.0,Female,Master's Degree,Product Manager,12.0,120000.0,Forties,11-15,High
7,31.0,Male,Bachelor's Degree,Sales Manager,4.0,80000.0,Thirties,0-5,Medium
8,26.0,Female,Bachelor's Degree,Marketing Coordinator,1.0,45000.0,Twenties,0-5,Low
9,38.0,Male,PhD,Senior Scientist,10.0,110000.0,Thirties,6-10,High
10,29.0,Male,Master's Degree,Software Developer,3.0,75000.0,Twenties,0-5,Medium
11,48.0,Female,Bachelor's Degree,HR Manager,18.0,140000.0,Forties,16-20,High
12,35.0,Male,Bachelor's Degree,Financial Analyst,6.0,65000.0,Thirties,6-10,Medium
13,40.0,Female,Master's Degree,Project Manager,14.0,130000.0,Thirties,11-15,High
14,27.0,Male,Bachelor's Degree,Customer Service Rep,2.0,40000.0,Twenties,0-5,Low
15,44.0,Male,Bachelor's Degree,Operations Manager,16.0,125000.0,Forties,16-20,High
16,33.0,Female,Master's Degree,Marketing Manager,7.0,90000.0,Thirties,6-10,Medium
17,39.0,Male,PhD,Senior Engineer,12.0,115000.0,Thirties,11-15,High
18,25.0,Female,Bachelor's Degree,Data Entry Clerk,0.0,35000.0,Twenties,0-5,Low
19,51.0,Male,Bachelor's Degree,Sales Director,22.0,180000.0,Fifties,21-25,Very High
20,34.0,Female,Master's Degree,Business Analyst,5.0,80000.0,Thirties,0-5,Medium
21,47.0,Male,Master's Degree,VP of Operations,19.0,190000.0,Forties,16-20,Very High
22,30.0,Male,Bachelor's Degree,IT Support,2.0,50000.0,Twenties,0-5,Low
23,36.0,Female,Bachelor's Degree,Recruiter,9.0,60000.0,Thirties,6-10,Medium
24,41.0,Male,Master's Degree,Financial Manager,13.0,140000.0,Forties,11-15,High
25,28.0,Female,Bachelor's Degree,Social Media Specialist,3.0,45000.0,Twenties,0-5,Low
26,37.0,Female,Master's Degree,Software Manager,11.0,110000.0,Thirties,11-15,High
27,24.0,Male,Bachelor's Degree,Junior Developer,1.0,40000.0,Twenties,0-5,Low
28,43.0,Female,PhD,Senior Consultant,15.0,140000.0,Forties,11-15,High
29,33.0,Male,Master's Degree,Product Designer,6.0,90000.0,Thirties,6-10,Medium
30,50.0,Male,Bachelor's Degree,CEO,25.0,250000.0,Forties,21-25,Top Tier
31,31.0,Female,Bachelor's Degree,Accountant,4.0,55000.0,Thirties,0-5,Medium
32,29.0,Male,Master's Degree,Data Scientist,3.0,75000.0,Twenties,0-5,Medium
33,39.0,Female,Bachelor's Degree,Marketing Specialist,10.0,65000.0,Thirties,6-10,Medium
34,46.0,Male,PhD,Senior Manager,20.0,170000.0,Forties,16-20,Very High
35,27.0,Male,Bachelor's Degree,Technical Writer,2.0,45000.0,Twenties,0-5,Low
36,35.0,Female,Bachelor's Degree,HR Generalist,7.0,60000.0,Thirties,6-10,Medium
37,42.0,Male,Master's Degree,Project Engineer,14.0,115000.0,Forties,11-15,High
38,26.0,Female,Bachelor's Degree,Customer Success Rep,1.0,40000.0,Twenties,0-5,Low
39,49.0,Male,Bachelor's Degree,Sales Executive,21.0,160000.0,Forties,21-25,Very High
40,34.0,Female,Master's Degree,UX Designer,5.0,80000.0,Thirties,0-5,Medium
41,48.0,Male,Master's Degree,Operations Director,18.0,190000.0,Forties,16-20,Very High
42,30.0,Male,Bachelor's Degree,Network Engineer,3.0,60000.0,Twenties,0-5,Medium
43,36.0,Female,Bachelor's Degree,Administrative Assistant,8.0,45000.0,Thirties,6-10,Low
44,41.0,Male,Master's Degree,Strategy Consultant,13.0,130000.0,Forties,11-15,High
45,28.0,Female,Bachelor's Degree,Copywriter,2.0,40000.0,Twenties,0-5,Low
46,32.0,Male,Bachelor's Degree,Account Manager,5.0,75000.0,Thirties,0-5,Medium
47,45.0,Female,Master's Degree,Director of Marketing,16.0,180000.0,Forties,16-20,Very High
48,38.0,Male,PhD,Senior Scientist,11.0,120000.0,Thirties,11-15,High
49,25.0,Male,Bachelor's Degree,Help Desk Analyst,0.0,35000.0,Twenties,0-5,Low
50,51.0,Female,Bachelor's Degree,Customer Service Manager,22.0,130000.0,Fifties,21-25,High
51,33.0,Male,Master's Degree,Business Intelligence Analyst,7.0,85000.0,Thirties,6-10,Medium
52,40.0,Female,Bachelor's Degree,Event Coordinator,12.0,60000.0,Thirties,11-15,Medium
53,47.0,Male,Master's Degree,VP of Finance,19.0,200000.0,Forties,16-20,Very High
54,29.0,Female,Bachelor's Degree,Graphic Designer,3.0,50000.0,Twenties,0-5,Low
55,36.0,Male,Bachelor's Degree,Sales Manager,9.0,95000.0,Thirties,6-10,Medium
56,27.0,Female,Master's Degree,UX Researcher,2.0,65000.0,Twenties,0-5,Medium
57,43.0,Male,PhD,Senior Engineer,17.0,140000.0,Forties,16-20,High
58,30.0,Female,Bachelor's Degree,Social Media Manager,4.0,55000.0,Twenties,0-5,Medium
59,35.0,Male,Master's Degree,Product Manager,7.0,105000.0,Thirties,6-10,High
60,51.0,Female,Master's Degree,Director of Operations,23.0,170000.0,Fifties,21-25,Very High
61,29.0,Male,Bachelor's Degree,Marketing Analyst,3.0,50000.0,Twenties,0-5,Low
62,40.0,Female,Bachelor's Degree,HR Manager,12.0,80000.0,Thirties,11-15,Medium
63,47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,Forties,21-25,Very High
64,26.0,Male,Bachelor's Degree,Junior Accountant,1.0,35000.0,Twenties,0-5,Low
65,38.0,Female,Master's Degree,Digital Marketing Manager,10.0,90000.0,Thirties,6-10,Medium
66,46.0,Male,Bachelor's Degree,IT Manager,19.0,120000.0,Forties,16-20,High
67,31.0,Female,Bachelor's Degree,Customer Service Representative,5.0,45000.0,Thirties,0-5,Low
